Sample_ID,Analysis_Run,Sample_Type,Tree_Number,Depth,TIMESTAMP,del_O,del_D
JW__T6404,LGR22-5_JWA,Soil,6,40,7/18/21 9:10,-9.64,76.6
JW__T6504,LGR22-5_JWA,Soil,6,50,7/18/21 9:10,-7.79,38.7
JW__T6604,LGR22-5_JWA,Soil,6,60,7/18/21 9:10,-6.9,-27.3
JW__T6005,LGR22-5_JWA,Soil,6,0,7/21/21 9:50,-8.73,156.6
JW__T6105,LGR22-5_JWA,Soil,6,10,7/21/21 9:50,-12.46,67.9
JW__T6205,LGR22-5_JWA,Soil,6,20,7/21/21 9:50,1.74,-29.3
JW__T6305,LGR22-5_JWA,Soil,6,30,7/21/21 9:50,-5.71,22.4
JW__T6405,LGR22-5_JWA,Soil,6,40,7/21/21 9:50,-7.64,23.5
JW__T6505,LGR22-5_JWA,Soil,6,50,7/21/21 9:50,-5.94,8.9
JW__T6605,LGR22-5_JWA,Soil,6,60,7/21/21 9:50,-8.58,-7.5
JW__T1V52,LGR22-5_JWA,Plant_Bag,1,NaN,7/21/21 15:10,-7.53,3.2
JW__T2V52,LGR22-5_JWA,Plant_Bag,2,NaN,7/21/21 15:20,-5.12,38
JW__T3V52,LGR22-5_JWA,Plant_Bag,3,NaN,7/21/21 15:30,-2.2,53.9
JW__T4V52,LGR22-5_JWA,Plant_Bag,4,NaN,7/21/21 15:40,-9.85,32.4
JW__T5V52,LGR22-5_JWA,Plant_Bag,5,NaN,7/21/21 15:50,4.28,42.2
JW__T6V52,LGR22-5_JWA,Plant_Bag,6,NaN,7/21/21 15:55,1.22,21.6
JW__P1UP,LGR22-5_JWA,Tracer,11,0,,-12.91,348.2
JW__P2LO,LGR22-5_JWA,Tracer,12,30,,-14.29,355.3
JW__T1LO1,LGR22-5_JWA,Tracer,1,30,7/6/21 11:00,-13.77,359.1
JW__T2LO1,LGR22-5_JWA,Tracer,2,30,7/6/21 13:00,-13.86,355.4
JW__T3LO1,LGR22-5_JWA,Tracer,3,30,7/6/21 15:00,-12.7,355
JW__T4LO1,LGR22-5_JWA,Tracer,4,30,7/6/21 16:30,-10.07,360.6
JW__T5LO1,LGR22-5_JWA,Tracer,5,30,7/6/21 18:00,-10.58,355.8
JW__T6LO1,LGR22-5_JWA,Tracer,6,30,7/6/21 19:00,-9.09,358.3
JW__T1UP1,LGR22-5_JWA,Tracer,1,0,7/6/21 8:00,120.4,-77.8
JW__T2UP1,LGR22-5_JWA,Tracer,2,0,7/6/21 8:00,88.08,-80.1
JW__T3UP1,LGR22-5_JWA,Tracer,3,0,7/6/21 8:00,104.54,-79.5
JW__T4UP1,LGR22-5_JWA,Tracer,4,0,7/6/21 8:00,108.58,-79.4
JW__T5UP1,LGR22-5_JWA,Tracer,5,0,7/6/21 8:00,129.84,-78.7
